sentence,label,idx
"klein , charming in comedies like american pie and dead-on in election , ",1,32326
be fruitful ,1,27449
soulful and ,1,60108
the proud warrior that still lingers in the souls of these characters ,1,23141
covered earlier and much better ,0,35226
wise and powerful ,1,66852
a powerful and reasonably fulfilling gestalt ,1,65093
smart and newfangled ,1,47847
it too is a bomb . ,0,39440
guilty about it ,0,56428
while the importance of being earnest offers opportunities for occasional smiles and chuckles ,1,6798
stevens ' vibrant creative instincts ,1,6824
great artistic significance ,1,56503
what does n't this film have that an impressionable kid could n't stand to hear ? ,1,51288
working from a surprisingly sensitive script co-written by gianni romoli ... ,1,39024
eight crazy nights is a total misfire . ,0,58847
"weighty revelations , flowery dialogue , and nostalgia for the past ",1,23316
the campy results make mel brooks ' borscht belt schtick look sophisticated . ,1,45517
demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were ,0,62148
accompanied by the sketchiest of captions . ,0,6489
"a first-class , thoroughly involving b movie that effectively combines two surefire , beloved genres -- the prison flick and the fight film ",1,44292
than indecent proposal ,1,41065
"an mtv , sugar hysteria ",1,50320
showcases tom hanks as a depression era hit-man in this dark tale of revenge ,1,44098
"does n't deliver a great story , nor ",0,41602
"with results that are sometimes bracing , sometimes baffling and quite often , and in unexpected ways , touching ",1,37996
distinct rarity ,1,38917
hate yourself ,0,42820
"the mystery of enigma is how a rich historical subject , combined with so much first-rate talent ... could have yielded such a flat , plodding picture . ",0,53050
unabashedly romantic picture ,1,13127
that flow through the hollywood pipeline without a hitch ,1,26284
be killed ,0,17330
"it 'll probably be in video stores by christmas , ",0,60141
the pristine camerawork ,1,14604
"terrific , sweaty-palmed fun ",1,420
takes hold ,1,37500
check this one out ,1,66079
is too bad that this likable movie is n't more accomplished . ,1,65755
a moving and weighty depiction of one family ,1,22303
big-hearted and frequently ,1,876
"acceptable , occasionally very enjoyable ",1,1553
take a complete moron to foul up a screen adaptation of oscar wilde 's classic satire ,0,4493
a saga of the ups and downs of friendships ,1,58533
", beloved genres ",1,5163
delicious and delicately ,1,38402
the huskies are beautiful ,1,41913
joyless ,0,66538
"than this unexpectedly moving meditation on love , history , memory , resistance and artistic transcendence ",1,39104
burning ,0,56833
inadvertent ones ,0,65058
hollow tribute ,0,16706
"the 3-d vistas from orbit , with the space station suspended like a huge set of wind chimes over the great blue globe , are stanzas of breathtaking , awe-inspiring visual poetry . ",1,27247
astonishing ... ( frames ) profound ethical and philosophical questions in the form of dazzling pop entertainment ,1,3475
"are no special effects , and no hollywood endings . ",0,3937
there 's a scientific law to be discerned here that producers would be well to heed ,0,30370
we have no idea what in creation is going on ,0,18080
"i have always appreciated a smartly written motion picture , ",1,3852
ready-made midnight movie ,1,18737
"to the movie 's contrived , lame screenplay and listless direction ",0,23300
a powerful 1957 drama ,1,8317
"a third-person story now , told by hollywood , and much more ordinary for it ",0,62484
no-surprise series ,0,53554
"extra effort to see an artist , still committed to growth in his ninth decade , change while remaining true to his principles ",1,34031
", nickelodeon-esque kiddie flick ",1,63044
offers no new insight ,0,34856
disjointed ,0,57717
combined with indoctrinated prejudice ,0,49851
exploitation film ,0,26300
"who needs mind-bending drugs when they can see this , the final part of the ` qatsi ' trilogy , directed by godfrey reggio , with music by philip glass ? ",1,27245
"sly , sophisticated and surprising . ",1,43207
"for a guy who has waited three years with breathless anticipation for a new hal hartley movie to pore over , no such thing is a big letdown . ",0,39230
pale successor ,0,53225
still want my money back . ,0,49068
"to the filmmakers , ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit . ",0,46829
as terrible as the synergistic impulse that created it ,0,28585
obnoxious adults ,0,58571
every joke is repeated at least -- ,0,65607
for nearly three hours ,1,25668
huge-screen ,1,65262
appears not to have been edited at all ,0,47608
"a buoyant romantic comedy about friendship , love , and the truth ",1,4706
seem like such a bore ,0,45012
2002 's first great film ,1,22629
"amy and matthew have a bit of a phony relationship , but ",0,17387
classy ,1,22810
clunky tv-movie approach ,0,36360
independent film ,1,34364
"with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage ",1,34820
"more revealing , more emotional and more surprising -- ",1,37084
wo n't have any trouble getting kids to eat up these veggies ,1,50412
ingenious and ,1,8298
"outrageous , ingenious ",1,49910
though it pretends to expose the life of male hustlers ,0,13632
a man whose engaging manner and flamboyant style made him a truly larger-than-life character ,1,63556
is unconvincing soap opera that tornatore was right to cut . ,0,39091
the most purely enjoyable and satisfying evenings ,1,374
demonstrates a vivid imagination and an impressive style that result in some terrific setpieces ,1,21413
gentle and biting ,1,19503
of dumb drug jokes and predictable slapstick ,0,62113
a movie with depth ,1,41591
